CFHT,reflector
CTIO reflector,reflector
Calar Alto reflector,reflector
Canada-France-Hawaii Telescope,reflector
Danish Telescope,reflector
Discovery Channel Telescope,reflector
GEODSS telescope,reflector
Gemini North,reflector
Gemini South,reflector
Hale reflector,reflector
INT,reflector
Isaac Newton Telescope,reflector
Jacobus Kapteyn Telescope,reflector
KLENOT Telescope,reflector
Keck I,reflector
Keck II,reflector
Keck III,reflector
Keck IV,reflector
LONEOS Schmidt,Schmidt
Lowell Observatory Discovery Channel telescope,reflector
MMT,reflector
Magellan-Baade telescope,reflector
Magellan-Clay telescope,reflector
NOT,reflector
NTT,reflector
New Technology Telescope,reflector
Nordic Optical Telescope,reflector
Oschin Schmidt,Schmidt
Perkins reflector,reflector
Plaskett telescope,reflector
SALT,reflector
SoTIE reflector,reflector
Spacewatch telescope,reflector
Subaru Telescope,reflector
University of Hawaii reflector,reflector
UoH,reflector
Uppsala Schmidt,Schmidt
VLT UT1,reflector
VLT UT2,reflector
WIYN reflector,reflector
